observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/2982,player_season,2024-25,,95463,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,95463,UNRESOLVED,,no existing verified Player Research closure
player_season/2983,player_season,2024-25,,467189,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,467189,UNRESOLVED,,no existing verified Player Research closure
player_season/2984,player_season,2024-25,,207270,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,207270,UNRESOLVED,,no existing verified Player Research closure
player_season/2985,player_season,2024-25,,436680,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,436680,UNRESOLVED,,no existing verified Player Research closure
player_season/2986,player_season,2024-25,,194190,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,194190,UNRESOLVED,,no existing verified Player Research closure
player_season/2987,player_season,2024-25,,220627,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,220627,UNRESOLVED,,no existing verified Player Research closure
player_season/2988,player_season,2024-25,,218218,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,218218,UNRESOLVED,,no existing verified Player Research closure
player_season/2989,player_season,2024-25,,94147,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,94147,UNRESOLVED,,no existing verified Player Research closure
player_season/2990,player_season,2024-25,,473341,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,473341,UNRESOLVED,,no existing verified Player Research closure
player_season/2991,player_season,2024-25,,481510,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,481510,UNRESOLVED,,no existing verified Player Research closure
player_season/2992,player_season,2024-25,,111931,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,111931,UNRESOLVED,,no existing verified Player Research closure
player_season/2993,player_season,2024-25,,93100,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,93100,UNRESOLVED,,no existing verified Player Research closure
player_season/2994,player_season,2024-25,,488439,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,488439,UNRESOLVED,,no existing verified Player Research closure
player_season/2995,player_season,2024-25,,501770,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,501770,UNRESOLVED,,no existing verified Player Research closure
player_season/2996,player_season,2024-25,,244619,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,244619,UNRESOLVED,,no existing verified Player Research closure
player_season/2997,player_season,2024-25,,619146,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,619146,UNRESOLVED,,no existing verified Player Research closure
player_season/2998,player_season,2024-25,,203341,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,203341,UNRESOLVED,,no existing verified Player Research closure
player_season/2999,player_season,2024-25,,157668,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,157668,UNRESOLVED,,no existing verified Player Research closure
player_season/3000,player_season,2024-25,,513527,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,513527,UNRESOLVED,,no existing verified Player Research closure
