observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/6262,team_match,2024-25,2444561,,2444561,4,VERIFIED,92,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6263,team_match,2024-25,2444562,,2444562,10,VERIFIED,93,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
team_match/6264,team_match,2024-25,2444562,,2444562,11,VERIFIED,93,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:13
team_match/6265,team_match,2024-25,2444563,,2444563,12,VERIFIED,94,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6266,team_match,2024-25,2444563,,2444563,5,VERIFIED,94,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6267,team_match,2024-25,2444564,,2444564,14,VERIFIED,95,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:1
team_match/6268,team_match,2024-25,2444564,,2444564,6,VERIFIED,95,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:8
team_match/6269,team_match,2024-25,2444565,,2444565,15,VERIFIED,96,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:4
team_match/6270,team_match,2024-25,2444565,,2444565,1,VERIFIED,96,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6271,team_match,2024-25,2444566,,2444566,16,VERIFIED,97,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6272,team_match,2024-25,2444566,,2444566,19,VERIFIED,97,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:21
team_match/6273,team_match,2024-25,2444567,,2444567,17,VERIFIED,98,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:20
team_match/6274,team_match,2024-25,2444567,,2444567,8,VERIFIED,98,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
team_match/6275,team_match,2024-25,2444568,,2444568,18,VERIFIED,99,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:6
team_match/6276,team_match,2024-25,2444568,,2444568,2,VERIFIED,99,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6277,team_match,2024-25,2444569,,2444569,20,VERIFIED,100,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6278,team_match,2024-25,2444569,,2444569,7,VERIFIED,100,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6279,team_match,2024-25,2444570,,2444570,4,VERIFIED,101,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6280,team_match,2024-25,2444570,,2444570,3,VERIFIED,101,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6281,team_match,2024-25,2444571,,2444571,5,VERIFIED,102,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6282,team_match,2024-25,2444571,,2444571,13,VERIFIED,102,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:43
team_match/6283,team_match,2024-25,2444572,,2444572,6,VERIFIED,103,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:8
team_match/6284,team_match,2024-25,2444572,,2444572,1,VERIFIED,103,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6285,team_match,2024-25,2444573,,2444573,7,VERIFIED,104,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6286,team_match,2024-25,2444573,,2444573,9,VERIFIED,104,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
team_match/6287,team_match,2024-25,2444574,,2444574,12,VERIFIED,105,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6288,team_match,2024-25,2444574,,2444574,2,VERIFIED,105,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6289,team_match,2024-25,2444575,,2444575,14,VERIFIED,106,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:1
team_match/6290,team_match,2024-25,2444575,,2444575,11,VERIFIED,106,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:13
team_match/6291,team_match,2024-25,2444576,,2444576,16,VERIFIED,107,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6292,team_match,2024-25,2444576,,2444576,15,VERIFIED,107,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:4
team_match/6293,team_match,2024-25,2444577,,2444577,18,VERIFIED,108,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:6
team_match/6294,team_match,2024-25,2444577,,2444577,10,VERIFIED,108,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
team_match/6295,team_match,2024-25,2444578,,2444578,19,VERIFIED,109,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:21
team_match/6296,team_match,2024-25,2444578,,2444578,8,VERIFIED,109,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
