source_player_id,canonical_player_identity,closure_status,evidence_basis
249437,hakim ziyech,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
250133,morgan sanson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
250223,john mcginn,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
255189,kortney hause,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
257091,duje caleta-car,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
257433,jamal lowe,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
257993,marcus bettinelli,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
26025,robin olsen,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
268903,neal maupay,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
26989,jay rodriguez,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
27028,ashley barnes,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
280439,maxwel cornet,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
284441,ruben loftus-cheek,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
285989,jairo riedewald,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
286085,jan bednarek,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
286165,adama traoré,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
287643,oleksandr zinchenko,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
290927,ivan toney,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
295123,paul onuachu,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
298366,kieffer moore,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
303638,tyrone mings,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
309218,ben davies,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
316148,thomas partey,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
318927,joe gomez,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
32023,vicente guaita,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
32124,james tomkins,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
322391,ryan christie,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
326343,jean-philippe gbamin,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
328701,ryan manning,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
329417,timothy castagne,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
331737,youri tielemans,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
336655,enes ünal,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
352668,tosin adarabioyo,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
352768,ainsley maitland-niles,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
352770,alex iwobi,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
355152,demarai gray,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
35532,salomón rondón,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
355528,harry wilson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
358394,josh brownhill,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
358694,marek rodák,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
360396,yerry mina,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
361004,marco asensio,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
361310,jonjoe kenny,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
361352,adam armstrong,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
361420,dominic solanke,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
362470,anwar el ghazi,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
362682,joachim andersen,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
365296,will norris,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
365772,naby keita,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
365802,harrison reed,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
366592,kieran tierney,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
368134,matt targett,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
371222,,REVIEW,verified player_identity_registry.csv + existing Player Research identity semantics
372344,dominic calvert-lewin,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
372430,frédéric guilbert,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
373240,lawrence vigouroux,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
39070,olivier giroud,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
39183,joel ward,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
