field_name,grain,resource,identity_contract
attemptedTackleFoul,team_match,team_match,canonical_team_season_to_source_team
attemptsConcededIbox,team_match,team_match,canonical_team_season_to_source_team
attemptsConcededObox,team_match,team_match,canonical_team_season_to_source_team
attemptsIbox,team_match,team_match,canonical_team_season_to_source_team
attemptsObox,team_match,team_match,canonical_team_season_to_source_team
attendance,team_match,team_match,canonical_team_season_to_source_team
backwardPass,team_match,team_match,canonical_team_season_to_source_team
ballRecovery,team_match,team_match,canonical_team_season_to_source_team
bigChanceCreated,team_match,team_match,canonical_team_season_to_source_team
bigChanceMissed,team_match,team_match,canonical_team_season_to_source_team
bigChanceScored,team_match,team_match,canonical_team_season_to_source_team
blockedCross,team_match,team_match,canonical_team_season_to_source_team
blockedPass,team_match,team_match,canonical_team_season_to_source_team
blockedScoringAtt,team_match,team_match,canonical_team_season_to_source_team
challengeLost,team_match,team_match,canonical_team_season_to_source_team
clearanceOffLine,team_match,team_match,canonical_team_season_to_source_team
contentiousDecision,team_match,team_match,canonical_team_season_to_source_team
cornerTaken,team_match,team_match,canonical_team_season_to_source_team
crosses18yard,team_match,team_match,canonical_team_season_to_source_team
crosses18yardplus,team_match,team_match,canonical_team_season_to_source_team
defenderGoals,team_match,team_match,canonical_team_season_to_source_team
dispossessed,team_match,team_match,canonical_team_season_to_source_team
divingSave,team_match,team_match,canonical_team_season_to_source_team
duelLost,team_match,team_match,canonical_team_season_to_source_team
duelWon,team_match,team_match,canonical_team_season_to_source_team
effectiveBlockedCross,team_match,team_match,canonical_team_season_to_source_team
effectiveClearance,team_match,team_match,canonical_team_season_to_source_team
effectiveHeadClearance,team_match,team_match,canonical_team_season_to_source_team
errorLeadToGoal,team_match,team_match,canonical_team_season_to_source_team
errorLeadToShot,team_match,team_match,canonical_team_season_to_source_team
expectedAssists,team_match,team_match,canonical_team_season_to_source_team
expectedGoals,team_match,team_match,canonical_team_season_to_source_team
expectedGoalsFreekick,team_match,team_match,canonical_team_season_to_source_team
expectedGoalsOnTarget,team_match,team_match,canonical_team_season_to_source_team
expectedGoalsOnTargetConceded,team_match,team_match,canonical_team_season_to_source_team
fiftyFifty,team_match,team_match,canonical_team_season_to_source_team
finalThirdEntries,team_match,team_match,canonical_team_season_to_source_team
fkFoulLost,team_match,team_match,canonical_team_season_to_source_team
fkFoulWon,team_match,team_match,canonical_team_season_to_source_team
forwardGoals,team_match,team_match,canonical_team_season_to_source_team
foulThrowIn,team_match,team_match,canonical_team_season_to_source_team
fouledFinalThird,team_match,team_match,canonical_team_season_to_source_team
freekickCross,team_match,team_match,canonical_team_season_to_source_team
freekickTotal,team_match,team_match,canonical_team_season_to_source_team
fwdPass,team_match,team_match,canonical_team_season_to_source_team
gameweek,team_match,team_match,canonical_team_season_to_source_team
goalAssist,team_match,team_match,canonical_team_season_to_source_team
goalAssistDeadball,team_match,team_match,canonical_team_season_to_source_team
goalAssistIntentional,team_match,team_match,canonical_team_season_to_source_team
goalAssistOpenplay,team_match,team_match,canonical_team_season_to_source_team
