season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,goal_count_match,source_event_id,source_event_type,source_event_seconds,source_event_time_label,source_event_text,source_scorer_name,source_scorer_team,source_scorer_id,source_assist_ids,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,source_url,retrieved_at_utc
2016-17,24,855195,14063,1,1,true,110015,goal,5506,90+2,"Goal!  Hull City 0, Manchester United 1. Marcus Rashford (Manchester United) right footed shot from very close range to the centre of the goal. Assisted by Wayne Rooney.",Marcus Rashford,Manchester United,13565,2064,,,0,1,https://footballapi.pulselive.com/football/fixtures/14063/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:54.306130Z
2016-17,25,855196,14064,3,3,true,109812,goal,4800,81,"Goal!  Leicester City 2, Swansea City 1. Leroy Fer (Swansea City) header from the centre of the box to the bottom right corner. Assisted by Modou Barrow with a cross.",Leroy Fer,Swansea City,4810,10520,,,2,1,https://footballapi.pulselive.com/football/fixtures/14064/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:55.124631Z
2016-17,25,855196,14064,3,3,true,109602,goal,3115,52,"Goal!  Leicester City 2, Swansea City 0. Wes Morgan (Leicester City) right footed shot from the centre of the box to the bottom left corner. Assisted by Robert Huth   following a corner.",Wes Morgan,Leicester City,8966,2053,,,2,1,https://footballapi.pulselive.com/football/fixtures/14064/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:55.124631Z
2016-17,25,855196,14064,3,3,true,109457,goal,1861,32,"Goal!  Leicester City 1, Swansea City 0. Jamie Vardy (Leicester City) right footed shot from the centre of the box to the bottom right corner. Assisted by Danny Drinkwater with a through ball.",Jamie Vardy,Leicester City,8979,3670,,,2,1,https://footballapi.pulselive.com/football/fixtures/14064/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:55.124631Z
2016-17,26,855198,14066,2,2,true,109834,goal,5080,85,"Goal!  Southampton 1, Sunderland 1. Jay Rodríguez (Southampton) right footed shot from outside the box to the centre of the goal. Assisted by James Ward-Prowse.",Jay Rodríguez,Southampton,3851,4617,,,1,1,https://footballapi.pulselive.com/football/fixtures/14066/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:55.925709Z
2016-17,26,855198,14066,2,2,true,109801,penalty goal,4744,80,"Goal!  Southampton 0, Sunderland 1. Jermain Defoe (Sunderland) converts the penalty with a right footed shot to the top left corner.",Jermain Defoe,Sunderland,1526,,,,1,1,https://footballapi.pulselive.com/football/fixtures/14066/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:55.925709Z
2016-17,27,855199,14067,2,2,true,109220,goal,4279,72,"Goal!  Tottenham Hotspur 1, Liverpool 1. Danny Rose (Tottenham Hotspur) left footed shot from the left side of the box to the bottom left corner. Assisted by Erik Lamela with a headed pass.",Danny Rose,Tottenham Hotspur,3507,4842,,,1,1,https://footballapi.pulselive.com/football/fixtures/14067/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:56.782680Z
2016-17,27,855199,14067,2,2,true,109172,penalty goal,2569,43,"Goal!  Tottenham Hotspur 0, Liverpool 1. James Milner (Liverpool) converts the penalty with a right footed shot to the bottom left corner.",James Milner,Liverpool,2100,,,,1,1,https://footballapi.pulselive.com/football/fixtures/14067/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:56.782680Z
2016-17,28,855200,14068,4,4,true,109625,goal,3391,57,"Goal!  Watford 1, Arsenal 3. Roberto Pereyra (Watford) left footed shot from the centre of the box to the bottom left corner.",Roberto Pereyra,Watford,11213,,,,1,3,https://footballapi.pulselive.com/football/fixtures/14068/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:57.670135Z
2016-17,28,855200,14068,4,4,true,109542,goal,2738,45+1,"Goal!  Watford 0, Arsenal 3. Mesut Özil (Arsenal) header from the centre of the box to the centre of the goal. Assisted by Alexis Sánchez with a cross.",Mesut Özil,Arsenal,4714,4973,,,1,3,https://footballapi.pulselive.com/football/fixtures/14068/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:57.670135Z
2016-17,28,855200,14068,4,4,true,109505,goal,2363,40,"Goal!  Watford 0, Arsenal 2. Alexis Sánchez (Arsenal) left footed shot from the left side of the six yard box to the centre of the goal. Assisted by Theo Walcott with a cross.",Alexis Sánchez,Arsenal,4973,2839,,,1,3,https://footballapi.pulselive.com/football/fixtures/14068/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:57.670135Z
2016-17,28,855200,14068,4,4,true,109330,penalty goal,536,09,"Goal!  Watford 0, Arsenal 1. Santi Cazorla (Arsenal) converts the penalty with a right footed shot to the centre of the goal.",Santi Cazorla,Arsenal,4477,,,,1,3,https://footballapi.pulselive.com/football/fixtures/14068/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:57.670135Z
2016-17,29,855197,14065,4,4,true,110219,goal,5482,90+2,"Goal!  Manchester City 3, West Ham United 1. Raheem Sterling (Manchester City) right footed shot from a difficult angle on the left to the bottom left corner. Assisted by David Silva.",Raheem Sterling,Manchester City,4316,4145,,,3,1,https://footballapi.pulselive.com/football/fixtures/14065/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:58.426442Z
2016-17,29,855197,14065,4,4,true,110189,goal,3443,58,"Goal!  Manchester City 2, West Ham United 1. Michail Antonio (West Ham United) header from very close range to the top right corner. Assisted by Arthur Masuaku with a cross.",Michail Antonio,West Ham United,9595,11284,,,3,1,https://footballapi.pulselive.com/football/fixtures/14065/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:58.426442Z
2016-17,29,855197,14065,4,4,true,110150,goal,1066,18,"Goal!  Manchester City 2, West Ham United 0. Fernandinho (Manchester City) header from the centre of the box to the top left corner. Assisted by Kevin De Bruyne with a cross   following a set piece situation.",Fernandinho,Manchester City,4804,4288,,,3,1,https://footballapi.pulselive.com/football/fixtures/14065/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:58.426442Z
