source_surface,resource,grain,field_name,sampled_seasons,sampled_paths,semantic_status
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulPassesOppositionHalf,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulPassesOwnHalf,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulShortPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,tacklesLost,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,tacklesWon,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,team_id,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,team_name,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,throughBalls,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,throwInsToOppositionPlayer,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,throwInsToOwnPlayer,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
