"research_family","subclass","source_surface","resource","grain","field_name","field_type","semantic_status","canonical_attachment","relationship_kind","identity_contract","source_identity_required","notes"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].known_name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].minutes","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].news","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].news_added","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].now_cost","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].now_cost_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].now_cost_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].opta_code","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].own_goals","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].penalties_missed","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].penalties_order","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].penalties_saved","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].penalties_text","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].photo","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Points","fpl","bootstrap-static.json","sample_payload","elements[].points_per_game","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Points","fpl","bootstrap-static.json","sample_payload","elements[].points_per_game_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Points","fpl","bootstrap-static.json","sample_payload","elements[].points_per_game_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_calibrating","bool","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_hourly_rate","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
