field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
challengeLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
clearanceOffLine,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
crossNotClaimed,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
dispossessed,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
duelLost,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
duelWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
errorLeadToAGoal,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
errorLeadToAShot,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
expectedAssists,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
expectedGoals,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
expectedGoalsOnTarget,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
fouls,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
gameweek,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
goalAssist,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
goals,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
goalsPrevented,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
goodHighClaim,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
hitWoodwork,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
interceptionWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
keyPass,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
lastManTackle,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
matchId,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
metersCoveredHighSpeedRunningKm,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
metersCoveredJoggingKm,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
metersCoveredRunningKm,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
