grain,field_name,state
sample_payload,events[].deadline_time_game_offset,FRL_ONLY
sample_payload,events[].finished,FRL_ONLY
sample_payload,events[].h2h_ko_matches_created,FRL_ONLY
sample_payload,events[].highest_score,FRL_ONLY
sample_payload,events[].highest_scoring_entry,FRL_ONLY
sample_payload,events[].id,FRL_ONLY
sample_payload,events[].is_current,FRL_ONLY
sample_payload,events[].is_next,FRL_ONLY
sample_payload,events[].is_previous,FRL_ONLY
sample_payload,events[].most_captained,FRL_ONLY
sample_payload,events[].most_selected,FRL_ONLY
sample_payload,events[].most_transferred_in,FRL_ONLY
sample_payload,events[].most_vice_captained,FRL_ONLY
sample_payload,events[].name,FRL_ONLY
sample_payload,events[].overrides,FRL_ONLY
sample_payload,events[].overrides.element_types,FRL_ONLY
sample_payload,events[].overrides.pick_multiplier,FRL_ONLY
sample_payload,events[].overrides.rules,FRL_ONLY
sample_payload,events[].overrides.scoring,FRL_ONLY
sample_payload,events[].ranked_count,FRL_ONLY
sample_payload,events[].release_time,FRL_ONLY
sample_payload,events[].released,FRL_ONLY
sample_payload,events[].top_element,FRL_ONLY
sample_payload,events[].top_element_info,FRL_ONLY
sample_payload,events[].top_element_info.id,FRL_ONLY
sample_payload,events[].top_element_info.points,FRL_ONLY
sample_payload,events[].transfers_made,FRL_ONLY
sample_payload,fixtures,FRL_ONLY
sample_payload,fixtures[].code,FRL_ONLY
sample_payload,fixtures[].difficulty,FRL_ONLY
sample_payload,fixtures[].event,FRL_ONLY
sample_payload,fixtures[].event_name,FRL_ONLY
sample_payload,fixtures[].finished,FRL_ONLY
sample_payload,fixtures[].id,FRL_ONLY
sample_payload,fixtures[].is_home,FRL_ONLY
sample_payload,fixtures[].kickoff_time,FRL_ONLY
sample_payload,fixtures[].minutes,FRL_ONLY
sample_payload,fixtures[].provisional_start_time,FRL_ONLY
sample_payload,fixtures[].team_a,FRL_ONLY
sample_payload,fixtures[].team_a_score,FRL_ONLY
sample_payload,fixtures[].team_h,FRL_ONLY
sample_payload,fixtures[].team_h_score,FRL_ONLY
sample_payload,game_config,FRL_ONLY
sample_payload,game_config.rules,FRL_ONLY
sample_payload,game_config.rules.cup_qualifying_method,FRL_ONLY
sample_payload,game_config.rules.cup_start_event_id,FRL_ONLY
sample_payload,game_config.rules.cup_stop_event_id,FRL_ONLY
sample_payload,game_config.rules.cup_type,FRL_ONLY
sample_payload,game_config.rules.element_sell_at_purchase_price,FRL_ONLY
sample_payload,game_config.rules.featured_entries,FRL_ONLY
sample_payload,game_config.rules.league_h2h_tiebreak_stats,FRL_ONLY
sample_payload,game_config.rules.league_join_private_max,FRL_ONLY
sample_payload,game_config.rules.league_join_public_max,FRL_ONLY
sample_payload,game_config.rules.league_ko_first_instead_of_random,FRL_ONLY
sample_payload,game_config.rules.league_max_ko_rounds_private_h2h,FRL_ONLY
sample_payload,game_config.rules.league_max_size_private_h2h,FRL_ONLY
sample_payload,game_config.rules.league_max_size_public_classic,FRL_ONLY
sample_payload,game_config.rules.league_max_size_public_h2h,FRL_ONLY
sample_payload,game_config.rules.league_points_h2h_draw,FRL_ONLY
sample_payload,game_config.rules.league_points_h2h_lose,FRL_ONLY
sample_payload,game_config.rules.league_points_h2h_win,FRL_ONLY
sample_payload,game_config.rules.league_prefix_public,FRL_ONLY
sample_payload,game_config.rules.max_extra_free_transfers,FRL_ONLY
sample_payload,game_config.rules.percentile_ranks,FRL_ONLY
sample_payload,game_config.rules.squad_special_max,FRL_ONLY
sample_payload,game_config.rules.squad_special_min,FRL_ONLY
sample_payload,game_config.rules.squad_squadplay,FRL_ONLY
sample_payload,game_config.rules.squad_squadsize,FRL_ONLY
sample_payload,game_config.rules.squad_team_limit,FRL_ONLY
sample_payload,game_config.rules.squad_total_spend,FRL_ONLY
sample_payload,game_config.rules.stats_form_days,FRL_ONLY
sample_payload,game_config.rules.sys_vice_captain_enabled,FRL_ONLY
sample_payload,game_config.rules.transfers_cap,FRL_ONLY
sample_payload,game_config.rules.transfers_sell_on_fee,FRL_ONLY
sample_payload,game_config.rules.ui_currency_multiplier,FRL_ONLY
sample_payload,game_config.rules.ui_special_shirt_exclusions,FRL_ONLY
sample_payload,game_config.rules.ui_use_special_shirts,FRL_ONLY
sample_payload,game_config.rules.underdog_differential,FRL_ONLY
sample_payload,game_config.scoring,FRL_ONLY
sample_payload,game_config.scoring.assists,FRL_ONLY
sample_payload,game_config.scoring.bonus,FRL_ONLY
sample_payload,game_config.scoring.bps,FRL_ONLY
sample_payload,game_config.scoring.clean_sheets,FRL_ONLY
sample_payload,game_config.scoring.clean_sheets.DEF,FRL_ONLY
sample_payload,game_config.scoring.clean_sheets.FWD,FRL_ONLY
sample_payload,game_config.scoring.clean_sheets.GKP,FRL_ONLY
sample_payload,game_config.scoring.clean_sheets.MID,FRL_ONLY
