field_name,source_surface,resource,grain,family,player_status,player_reason,fixture_status,fixture_reason,team_club_status,team_club_reason,relationship_contract,identity_route,temporal_route
game_config.scoring.mng_clean_sheets.GKP,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_clean_sheets.MID,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_draw,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_draw.DEF,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_draw.FWD,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_draw.GKP,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_draw.MID,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_goals_scored,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_goals_scored.DEF,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_goals_scored.FWD,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_goals_scored.GKP,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_goals_scored.MID,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_loss,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_underdog_draw,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_underdog_draw.DEF,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_underdog_draw.FWD,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.mng_underdog_draw.GKP,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
