season,source_player_id,source_player_name,source_position,source_appearances,source_starts,source_minutes,expected_goals,expected_assists,accurate_opposition_half_passes,forward_passes,recoveries,tackles_won
2016-17,49440,Hal Robson-Kanu,Forward,29.0,5.0,683.0,1.9445,0.3742,106.0,39.0,29.0,4.0
2016-17,49464,Cristhian Stuani,Forward,23.0,16.0,1361.0,2.7217,0.7725,164.0,107.0,72.0,24.0
2016-17,49539,Kyle Naughton,Defender,31.0,31.0,2718.0,0.7106,2.0778,662.0,682.0,146.0,54.0
2016-17,49579,Pedro,Forward,35.0,26.0,2151.0,5.3964,3.2642,518.0,198.0,158.0,36.0
2016-17,49688,Alfred N'Diaye,Midfielder,15.0,15.0,1277.0,0.9699,0.2986,201.0,161.0,85.0,35.0
2016-17,49696,Mauro Zárate,Forward,3.0,3.0,206.0,0.3094,0.0767,42.0,9.0,10.0,
2016-17,49944,Jake Livermore,Midfielder,37.0,35.0,2976.0,1.036,0.9622,606.0,573.0,230.0,54.0
2016-17,49957,Kamil Grosicki,Midfielder,15.0,12.0,1146.0,1.6391,2.4499,184.0,79.0,45.0,5.0
2016-17,50089,Geoff Cameron,Midfielder,19.0,18.0,1628.0,1.1082,1.3649,315.0,338.0,121.0,37.0
2016-17,50175,Danny Welbeck,Forward,16.0,8.0,746.0,3.187,1.721,126.0,34.0,20.0,4.0
2016-17,50229,Matt Phillips,Midfielder,27.0,26.0,2193.0,2.98,3.4185,256.0,165.0,111.0,13.0
2016-17,50471,James McArthur,Midfielder,29.0,24.0,2010.0,1.8645,1.4613,370.0,227.0,139.0,45.0
2016-17,50472,James McCarthy,Midfielder,12.0,7.0,612.0,0.4905,0.1766,115.0,90.0,23.0,10.0
2016-17,51507,Laurent Koscielny,Defender,33.0,33.0,2823.0,1.5465,0.761,495.0,632.0,209.0,42.0
2016-17,51927,Ben Mee,Defender,34.0,34.0,3015.0,1.1858,1.0812,288.0,548.0,163.0,32.0
