season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,player_season,players_stats,cornersWon,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,crossesNotClaimed,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,drops,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,duels,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,duelsLost,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,duelsWon,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,expectedAssists,exposed,PRESENT,20
2016-17,player_season,players_stats,expectedGoals,exposed,PRESENT,20
2016-17,player_season,players_stats,expectedGoalsFreekick,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,expectedGoalsOnTarget,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,expectedGoalsOnTargetConceded,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,forwardPasses,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,foulAttemptedTackle,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,foulWonPenalty,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,freekickTotal,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,gamesPlayed,exposed,PRESENT,20
2016-17,player_season,players_stats,gkSuccessfulDistribution,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,gkUnsuccessfulDistribution,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,goalAssists,exposed,PRESENT,20
2016-17,player_season,players_stats,goalKicks,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,goalkeeperSmother,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,goals,exposed,PRESENT,20
2016-17,player_season,players_stats,goalsConceded,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,goalsConcededInsideBox,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,goalsConcededOutsideBox,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,groundDuels,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,groundDuelsLost,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,groundDuelsWon,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,handballsConceded,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,headedGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,hitWoodwork,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,homeGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,iboxBlocked,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,iboxTarget,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,interceptions,exposed,PRESENT,20
2016-17,player_season,players_stats,keyPassesAttemptAssists,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,leftFootGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,leftsidePasses,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,nationality,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,oboxBlocked,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,oboxTarget,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,offsides,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,openPlayPasses,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,otherGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,ownGoalScored,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltiesConceded,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltiesFaced,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltiesSaved,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltiesTaken,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltyGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,penaltyGoalsConceded,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,playerId,exposed,PRESENT,20
2016-17,player_season,players_stats,playerName,retained,PRESENT,20
