season,fpl_element,fpl_player_code,fpl_team_code,player_identity_key,player_match_source_player_id,identity_status,identity_route,candidate_count,evidence_seasons,evidence_basis,source_release_sha,source_path,source_sha256
2026-27,379,219168,14,player_match:823941,823941,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,380,510663,14,player_match:1048422,1048422,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,381,514514,14,player_match:1403111,1403111,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2023-24,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,382,500058,14,player_match:1403108,1403108,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2023-24|2024-25,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,383,444884,14,player_match:955245,955245,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2018-19|2019-20|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,384,204936,43,player_match:824509,824509,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,385,432720,2,player_match:980643,980643,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2020-21|2023-24|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,386,122074,43,player_match:257993,257993,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2013-14|2018-19|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,387,472769,43,player_match:1142703,1142703,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2022-23|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,388,209036,43,player_match:877994,877994,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2018-19|2019-20|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,389,465351,43,player_match:945122,945122,VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_REGISTERED_SOURCE_PLAYER_ID,1,2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
2026-27,390,171314,43,player_match:318941,318941,SOURCE_NATIVE_VERIFIED,FPL_PLAYER_CODE_TO_PLAYER_MATCH_PL_CODE_TO_SOURCE_NATIVE_PLAYER,1,2020-21|2021-22|2022-23|2023-24|2024-25|2025-26,Exact FPL player_code equality with an unambiguous historical Player-Match pl_code relationship.,ffe99d25a5bd3a8f70c557748fead332f46ed14f,_merged/players/2026-27_all_players_gw.csv,b7f9dedabdcb5ef94aee6155645645369eb5aabe541e494ff5f00ce17edd1fd9
